,,,,,,,,,,,
,,,,,,,,,,,
,Spray Roses Wayuu,40 cms,50 cms,60 cms,,,Spray Roses Wayuu,40 cms,50 cms,60 cms,
,Solid Colors  and Custom Pack, $  0.34 , $  0.42 , $  0.48 ,,,Solid Colors  and Custom Pack, $  0.37 , $  0.46 , $  0.53 ,
,Assorted Colors, $  0.32 , $  0.38 , $  0.46 ,,,Assorted Colors, $  0.35 , $  0.42 , $  0.51 ,
,,,,,,,,,,,
,Alstroemeria Wayuu,Incredible,Premium,Select,Fancy,,Alstroemeria Wayuu,Incredible,Premium,Select,Fancy
,Solid Colors, $  3.00 , $  2.40 , $  2.00 , $  1.70 ,,Solid Colors, $  3.30 , $  2.64 , $  2.20 , $  1.87 
,Assorted Colors, $  2.80 , $  2.20 , $  1.90 , $  1.60 ,,Assorted Colors, $  3.08 , $  2.42 , $  2.09 , $  1.76 
,,,,,,,,,,,
,Carnations Wayuu,Select,Fancy,,,,Carnations Wayuu,Select,Fancy,,
,Tinted novelties, $  0.28 , $  0.26 ,,,,Tinted novelties, $  0.31 , $  0.29 ,,
,Antique, $  0.21 , $  0.20 ,,,,Antique, $  0.23 , $  0.22 ,,
,Solids, $  0.20 , $  0.19 ,,,,Solids, $  0.22 , $  0.21 ,,
,Assorted, $  0.19 , $  0.18 ,,,,Assorted, $  0.21 , $  0.20 ,,
,,,,,,,,,,,
,Minicarnations,Select,Fancy,,,,Minicarnations,Select,Fancy,,
,"Solids, Assorted & Novelties", $  1.90 , $  1.80 ,,,,"Solids, Assorted & Novelties", $  2.09 , $  1.98 ,,
,,,,,,,,,,,
,Florincas,Select,Fancy,,,,Florincas,Select,Fancy,,
,Solids & Assorted, $  2.30 , $  1.90 ,,,,Solids & Assorted, $  2.53 , $  2.09 ,,
,,,,,,,,,,,
,Gerberas & Gerrondos,CB,TRAY,,,,Gerberas & Gerrondos,CB,TRAY,,
,Solid colors, $  0.38 , $  0.42 ,,,,Solid colors, $  0.42 , $  0.46 ,,
,Assorted , $  0.36 , $  0.40 ,,,,Assorted , $  0.40 , $  0.44 ,,
,,,,,,,,,,,
,Minicallas,Fancy,Select,,,,Minicallas,Fancy,Select,,
,Assorted, $  0.44 , $  0.50 ,,,,Assorted, $  0.48 , $  0.55 ,,
,Solid, $  0.46 , $  0.54 ,,,,Solid, $  0.51 , $  0.59 ,,
,,,,,,,,,,,
,Lilies,3+ Blooms,,,,,Lilies,3+ Blooms,,,
,Asiatic /LA Hybrids Lilies, $  0.60 ,,,,,Asiatic /LA Hybrids Lilies, $  0.66 ,,,
,Oriental, $  0.85 ,,,,,Oriental, $  0.94 ,,,
,Rose Lily, $  1.10 ,,,,,Rose Lily, $  1.21 ,,,
,,,,,,,,,,,
,Novelty items Colombia,Select,,,,,Novelty items Colombia,Select,,,
,Double Spray Stock, $  3.80 ,,,,,Double Spray Stock, $  4.18 ,,,
,Aster  (purple & white), $  2.40 ,,,,,Aster  (purple & white), $  2.64 ,,,
,Aster  (Solidago Golden Glory), $  2.40 ,,,,,Aster  (Solidago Golden Glory), $  2.64 ,,,
,Dianthus Green Ball , $  3.60 ,,,,,Dianthus Green Ball , $  3.96 ,,,
,"Dianthus (Amazon, Sweet Williams/Breanthus)", $  3.60 ,,,,,"Dianthus (Amazon, Sweet Williams/Breanthus)", $  3.96 ,,,
,Aster Matsumoto, $  3.20 ,,,,,Aster Matsumoto, $  3.52 ,,,
,"Greens (Ruscus, Coccolus, pithosporum)", $  1.60 ,,,,,"Greens (Ruscus, Coccolus, pithosporum)", $  1.76 ,,,
,Greens Eucalypthus, $  2.20 ,,,,,Greens Eucalypthus, $  2.42 ,,,
,Hypericum, $  3.00 ,,,,,Hypericum, $  3.30 ,,,
,X-lence Gyp, $  2.80 ,,,,,X-lence Gyp, $  3.08 ,,,
,Limonium Eversnow, $  3.00 ,,,,,Limonium Eversnow, $  3.30 ,,,
,Ammimajus /queen anne's lace, $  0.38 ,,,,,Ammimajus /queen anne's lace, $  0.42 ,,,
,Sunflowers Pettite Vincent & Sunrich, $  0.35 ,,,,,Sunflowers Pettite Vincent & Sunrich, $  0.39 ,,,
,Eryngium Magical Blue, $  3.60 ,,,,,Eryngium Magical Blue, $  3.96 ,,,
,Veronicas, $  3.20 ,,,,,Veronicas, $  3.52 ,,,
,Craspedia, $  2.80 ,,,,,Craspedia, $  3.08 ,,,
,Craspedia tinted, $  3.40 ,,,,,Craspedia tinted, $  3.74 ,,,
,Spray Delphinium Blue, $  3.60 ,,,,,Spray Delphinium Blue, $  3.96 ,,,
,Matricaria, $  2.80 ,,,,,Matricaria, $  3.08 ,,,
,Statice, $  2.00 ,,,,,Statice, $  2.20 ,,,
,Lepidium Green Dragon, $  3.00 ,,,,,Lepidium Green Dragon, $  3.30 ,,,
,Snap Dragon, $  2.80 ,,,,,Snap Dragon, $  3.08 ,,,
,Brassicas , $  0.55 ,,,,,Brassicas , $  0.61 ,,,
,Crassulas, $  0.85 ,,,,,Crassulas, $  0.94 ,,,
,,,,,,,,,,,
,Ranunculus,Select,,,,,Ranunculus,Select,,,
,Assorted , $  6.00 ,,,,,Assorted , $  6.60 ,,,
,Solid, $  6.50 ,,,,,Solid, $  7.15 ,,,
,,,,,,,,,,,
,Spray Chrysanthemums,7 stem bunches,,,,,Spray Chrysanthemums,7 stem bunches,,,
,CDN Assorted or Solids, $  1.26 ,,,,,CDN Assorted or Solids, $  1.39 ,,,
,Tinted , $  1.68 ,,,,,Tinted , $  1.85 ,,,
,,,,,,,,,,,
,Disbuds,10 stem,,,,,Disbuds,10 stem,,,
,Cremons , $  2.80 ,,,,,Cremons , $  3.08 ,,,
,Tinted Cremons , $  3.20 ,,,,,Tinted Cremons , $  3.52 ,,,
,Bombon, $  2.80 ,,,,,Bombon, $  3.08 ,,,
,,,,,,,,,,,
,Hydrangeas USA,Select, Super select (premium) ,Jumbo,,,Hydrangeas USA,Select, Super select (premium) ,Jumbo,
,Mini Green, $  0.38 ,,,,,Mini Green, $  0.42 ,,,
,Dark Mini / Mini Mohito, $  0.40 ,,,,,Dark Mini / Mini Mohito, $  0.44 ,,,
,Classic White, $  0.42 , $  0.49 ,,,,Classic White, $  0.46 , $  0.54 ,,
,Classic Blue , $  0.44 , $  0.54 ,,,,Classic Blue , $  0.48 , $  0.59 ,,
,Antique, $  1.04 , $  1.29 , $  1.84 ,,,Antique, $  1.14 , $  1.42 , $  2.02 ,
,Purple,, $  0.84 ,,,,Purple,, $  0.92 ,,
,Big Petals, $  1.14 ,,,,,Big Petals, $  1.25 ,,,
,Tinted , $  0.57 , $  0.62 , $  1.55 ,,,Tinted , $  0.63 , $  0.68 , $  1.71 ,
,Tinted Special, $  0.69 , $  0.84 , $  1.64 ,,,Tinted Special, $  0.76 , $  0.92 , $  1.80 ,
,"Precios con fresh liner incluido / 
Opcion2: Papel & Waterbag - +0,05/tallo",,,,,,"Precios con fresh liner incluido / 
Opcion2: Papel & Waterbag - +0,05/tallo",,,,