Species,Product,PRICE/UNIT - GS,Rate Per Units (USD $),Last Updated (Run Date),,,
Amaranthus,AMARANTHUS HANGING GREEN 60CM. 5ST. QB/EB,$2.34,,2026-01-28 9:48:57,,Species,AVERAGE of PRICE/UNIT - GS
Amaranthus,AMARANTHUS HANGING RED 60CM. 5ST. QB/EB,$2.03,,,,Amaranthus,$2.19
Anthurium,ANTHURIUM ACROPOLIS WHITE LARGE 50CM. 1ST. QB/EBC,$4.68,,2026-01-28 9:52:51,,Anthurium,$3.43
Anthurium,ANTHURIUM ACROPOLIS WHITE MEDIUM 50CM. 1ST. QB/EBC,$3.90,,2026-01-28 9:50:12,,Aspidistra,$0.72
Anthurium,ANTHURIUM ACROPOLIS WHITE XL 50CM. 1ST. QB/EBC,$3.93,,2026-01-28 9:49:56,,Chamaedorea,$0.99
Anthurium,ANTHURIUM ACROPOLIS WHITE XXL 50CM. 1ST. QB/EBC,$3.90,,2026-01-28 9:48:57,,Cordyline,$1.10
Anthurium,ANTHURIUM CHEERS PINK MEDIUM 50CM. 1ST. QB/EBC,$2.62,,2026-01-28 9:54:05,,Davalia,$1.10
Anthurium,ANTHURIUM CHOCO BROWN LARGE 50CM. 1ST. QB/EBC,$2.99,,2026-01-28 9:53:33,,Dracaenas,$0.41
Anthurium,ANTHURIUM CHOCO BROWN MEDIUM 50CM. 1ST. QB/EBC,$2.75,,,,Ginger,$1.10
Anthurium,ANTHURIUM HOT PINK LARGE 50CM. 1ST. QB/EBC,$3.00,,2026-01-28 9:52:16,,Heliconia,$1.10
Anthurium,ANTHURIUM PISTACHE GREEN LARGE 50CM. 1ST. QB/EBC,$3.78,,2026-01-28 9:49:56,,Leather Leaf,$1.15
Anthurium,ANTHURIUM PISTACHE GREEN XL 50CM. 1ST. QB/EBC,$4.43,,2026-01-28 9:53:08,,Monstera,$1.35
Anthurium,ANTHURIUM ROSA PINK XL 50CM. 1ST. QB/EBC,$3.37,,2026-01-28 9:54:05,,Musa Leaf,$1.09
Anthurium,ANTHURIUM ROSA PINK XXL 50CM. 1ST. QB/EBC,$3.37,,2026-01-28 9:54:05,,Philodendron,$1.10
Anthurium,ANTHURIUM SANTE PINK MEDIUM 50CM. 1ST. QB/EBC,$2.73,,,,Podocarpus,$1.28
Anthurium,ANTHURIUM TROPICAL RED MEDIUM 50CM. 1ST. QB/EBC,$2.62,,2026-01-28 9:52:35,,Raphis Palm,$1.09
Aspidistra,ASPIDISTRA LEAF 50CM. 10ST.,$0.72,,2026-01-28 9:52:00,,Scheflera,$1.10
Chamaedorea,PALM CAT MEDIUM 65CM. 10ST. HB/QB/EBC,$1.10,,,,Grand Total,$2.04
Chamaedorea,PALM CAT SMALL 50CM. 10ST.,$0.79,,2026-01-28 9:52:00,,,
Chamaedorea,PALM CAT SMALL 50CM. 10ST. HB/QB/EB,$1.09,,2026-01-28 9:49:31,,,
Cordyline,CORDELYNE LEAF FUCSIA 50CM. 10ST. HB/QB/EB (NC),$1.10,,,,,
Monstera,MONSTERA GREEN LARGE 90CM. 5ST. HB/QB (NC),$1.09,,,,,
Monstera,MONSTERA GREEN MEDIUM 70CM.,$2.20,,2026-01-28 9:52:00,,,
Monstera,MONSTERA GREEN PETITE 30CM.,$1.00,,2026-01-28 9:52:00,,,
Monstera,MONSTERA GREEN SMALL 50CM. 5ST. HB/QB/EB (NC),$1.09,,2026-01-28 9:49:31,,,
Davalia,DAVALIA 60CM. 10ST. HB/QB/EBC (SC),$1.10,,,,,
Dracaenas,MASAJEANA VARIEGATED 60CM. 10ST. HB/QB/EB (NC),$0.41,,2026-01-28 9:49:31,,,
Ginger,GINGER RED MEDIUM 13CM. 75CM. 5ST. HB/QB/EBC,$1.10,,,,,
Leather Leaf,FOLIATE 50CM. 5ST. HB/QB/EB (SC),$1.09,,,,,
Leather Leaf,HELECHO MACHO 50CM. 10ST. HB/QB/EBC (SC),$1.21,,,,,
Heliconia,HEL. OPAL RED 70CM. 5ST. HB/QB/EB,$1.10,,,,,
Musa Leaf,MUSA LEAF LARGE 90CM. 5ST. HB/QB (NC),$1.09,,,,,
Raphis Palm,PALM RAPHIS 50CM. 5ST. HB/QB/EB (SC),$1.09,,2026-01-28 9:49:31,,,
Philodendron,PHI. XANADU 40CM.10ST. HB/QB/EB/GB-M (NC),$1.10,,,,,
Philodendron,PHI. XANTAL 60CM. 10ST. HB/QB/EB (NC),$1.09,,,,,
Podocarpus,PODOCARPUS FRESH 50CM. 5ST. HB/QB/EBC (SC),$1.28,,,,,
Scheflera,SCHEFFLERA TIP GREEN 45CM. 5ST. HB/QB (NC),$1.10,,,,,