Branch - GS,Stem Type,VARIETY - GS,PRICE/UNIT - GS,PRICE/UNIT $,Last Updated (Run Date),,,49,,,,,,,,,,,
Miami,Greenry,Fritillaria Meleagris Variegated Purple,$1.95,,2026-02-11 11:49:46,,,Preserved Hanging Amaranthus White,,,,,,,#NUM!,,,,#NUM!
Miami,Helleborus,Helleborus Queens Red,$4.65,,2026-02-11 11:49:46,,,Preserved Italian Ruscus Bleached White,,,,,,,$1.85,,,,$1.85
Miami,Helleborus,Helleborus Winterbells Green/White,$2.95,,2026-02-17 12:09:07,,,Princess Pine Green,,,,,,,$1.35,,,,$1.35
Miami,Hydrangea,Hydrangea Antique Green,$4.50,,2025-11-25 13:54:10,,,Protea King Pink,,,,,,,$22.00,,,,$22.00
Miami,Hydrangea,Hydrangea Light Blue Medium,$1.97,$1.44,2025-12-01 10:44:58,,,Queen Annes Lace Chocolate Brown,,,,,,,$1.47,,,,$1.47
Miami,Hydrangea,Hydrangea Mojito Green,$2.25,$2.15,2025-11-25 13:54:10,,,Queen Annes Lace White,,,,,,,$1.10,,,,$1.10
Miami,Hydrangea,Hydrangea Mojito Green,$2.25,$1.95,2026-02-16 11:25:03,,,Ranunculus Blush,,,,,,,$2.15,,,,$2.15
Miami,Hydrangea,Hydrangea Mojito Green Medium,$1.85,$2.25,2025-11-25 13:49:52,,,Ranunculus Clooney Pink,,,,$5.95,,,,,,,$5.95
Miami,Hydrangea,Hydrangea White Medium,$1.97,$1.44,2026-01-06 12:29:47,,,Ranunculus Cream,$2.40,,,,,,,,,,$2.40
Miami,Hypericum,Hypericum Burgundy,$0.85,,2025-11-11 13:50:31,,,Ranunculus Light Pink,,,#NUM!,,,,,,,,#NUM!
Miami,Hypericum,Hypericum Ivory,$0.85,,2025-11-11 13:50:31,,,Ranunculus Spray Butterfly Ariadne Blush,,,,,,,$3.45,,,,$3.45
Miami,Hypericum,Hypericum Rocky Romance,$0.85,,2025-12-09 14:17:52,,,Ranunculus Spray Butterfly Eris Salmon,$3.00,,,,,,,,,,$3.00
Miami,Larkspur,Larkspur White,$1.15,,2026-01-05 14:05:08,,,Ranunculus Spray Butterfly Pink,,,#NUM!,,,,,,,,#NUM!
Miami,Lily,Lily Asiatic Orange,$2.25,,2026-02-17 12:10:27,,,Ranunculus White,,,,$2.10,,,$2.25,,,,$2.18
Miami,Lily,Lily Oriental Light Pink,$3.25,,2025-11-11 13:48:11,,,Rose Amnesia Antique Lavender,,,,,,,$1.50,,,,$1.50
Miami,Lily,Lily Oriental White,$2.85,$3.25,2026-02-10 13:22:50,,,Rose Barista Mauve,,,#NUM!,,,,,,,,#NUM!
Miami,Limonium,Limonium Misty White,$1.05,,2025-12-09 14:18:56,,,Rose Black Baccara Dark Red,,,,,,,$1.75,,,,$1.75
Miami,Limonium,Limonium Misty White White,$1.05,,2026-02-10 13:23:49,,,Rose Black Magic Dark Red,,,,,,,,$2.95,,,$2.95
Miami,Limonium,Limonium White,$1.05,,2025-11-11 13:54:16,,,Rose Cappuccino Beige,,,,,,,$2.75,,,,$2.75
Miami,Lisianthus,Lisianthus Brown,$4.85,$5.25,2026-01-19 13:36:52,,,Rose Cream/Blush,,,,,,,$1.35,,,,$1.35
Miami,Lisianthus,Lisianthus Purple,$3.25,$3.85,2026-02-03 11:34:23,,,Rose Escimo White,,,,,,,$1.35,,,,$1.35
Miami,Lisianthus,Lisianthus White,$2.85,$3.25,2026-01-28 11:36:32,,,Rose Faith Mauve,,,,,,,$1.50,,,,$1.50
Miami,Moss,Moss Sheet Green,$4.95,$5.50,2026-02-11 11:49:46,,,Rose Garden Keira Blush,$4.50,,,$3.65,,,,,,,$4.08
Miami,Open Cut Calla Lily,Calla Lily Super White,$3.50,,2025-11-11 13:47:11,,,Rose Garden Wedding Spirit Blush 50cm,,,,,,,$1.05,,,,$1.05
Miami,Orchid,Cymbidium Mini Red,$18.95,,2025-11-24 11:36:43,,,Rose Garden White O'hara Blush,,,,,,,$1.95,,,,$1.95
Miami,Orlaya,Orlaya White,$1.35,,2026-02-16 11:25:03,,,Rose Mondial Cream,$1.40,,,,,,,,,,$1.40
Miami,Plumosa,Plumosa Green,$0.85,$0.92,2026-02-09 8:48:02,,,Rose Peach,$1.40,,,,,,,,,,$1.40
Miami,Pompon,Pompon Button Green,$0.60,,2026-01-27 14:02:00,,,Rose Playa Blanca White,$1.50,,,$2.15,,,,,,,$1.83
Miami,Pompon,Pompon Button Lexy Bronze,$0.60,$0.70,2026-01-14 12:40:38,,,Rose Playa Blanca White 50cm,,,,,,,$1.35,,,,$1.35
Miami,Pompon,Pompon Cushion Burgundy,$0.60,,2025-11-11 13:50:31,,,Rose Quicksand Beige,,,#NUM!,,,,$1.50,,,,$1.50
Miami,Pompon,Pompon Cushion Red,$0.36,,2025-11-18 12:47:18,,,Rose Tibet White,$1.40,,,$1.60,,,,,,,$1.50
Miami,Pompon,Pompon Cushion Veronica Salmon,$0.60,,2026-01-21 13:05:19,,,Rose Tibet White 50cm,,,,,,,$1.35,,,,$1.35
Miami,Protea,Protea King Pink,$22.00,,2025-11-17 13:24:23,,,Ruscus Israeli Green,$0.60,,,,,,$0.63,,,,$0.62
Miami,QAL,Queen Annes Lace White,$1.10,,2026-02-16 11:25:03,,,Ruscus Italian Green,,,,,#NUM!,$1.35,#NUM!,$1.35,,,$1.35
Miami,Queen Anne's Lace,Queen Annes Lace Chocolate Brown,$1.47,,2026-01-19 13:36:52,,,Ruscus Italian Green 100 cm,$1.35,,#NUM!,,,,$1.35,$1.35,$1.15,$1.35,$1.35
Miami,Ranunculus,Ranunculus Blush,$2.15,,2025-12-26 11:06:54,,,Sanguisorba Burgundy,,,,,,,$2.50,,,,$2.50
Miami,Ranunculus,Ranunculus White,$2.25,,2026-01-05 14:05:08,,,Scabiosa Blackberry Scoop Burgundy,,,,,,,$1.85,,,,$1.85
Miami,Ranunculus - Butterfly,Ranunculus Spray Butterfly Ariadne Blush,$3.45,,2026-01-05 14:05:08,,,Scabiosa Blush,,,#NUM!,,,,,,,,#NUM!
Miami,Rose,Rose Amnesia Antique Lavender,$1.50,,2025-12-02 13:14:23,,,Scabiosa French Vanilla Scoop Blush,$1.45,,,,,,$1.95,,,,$1.70
Miami,Rose,Rose Black Baccara Dark Red,$1.75,$2.00,2026-01-20 12:21:44,,,Scabiosa White,$1.45,,,,,,,,,,$1.45
Miami,Rose,Rose Cappuccino Beige,$2.75,,2025-11-17 13:22:59,,,Smilax Green,,#NUM!,,,,,,,,,#NUM!
Miami,Rose,Rose Cream/Blush,$1.35,,2025-12-26 11:36:17,,,Snapdragon Burgundy,,,,,,,$1.85,,,,$1.85
Miami,Rose,Rose Escimo White,$1.35,,2025-12-16 13:12:47,,,Snapdragon Burgundy Select,,,,,,,#NUM!,,,,#NUM!
Miami,Rose,Rose Faith Mauve,$1.50,,2025-12-02 13:14:23,,,Snapdragon Orange Select,,,,,,,$1.85,,,,$1.85
Miami,Rose,Rose Playa Blanca White 50cm,$1.35,,2025-12-26 11:36:17,,,Snapdragon Pink Select,,,,,,,$1.75,,,,$1.75
Miami,Rose,Rose Quicksand Beige,$1.50,$1.35,2025-12-26 11:07:37,,,Snapdragon White Select,,,,,,,$1.75,,,,$1.75
Miami,Rose,Rose Tibet White 50cm,$1.35,,2026-01-05 14:05:08,,,Spray Rose Floreana White,$1.85,,,$1.55,,,,,$1.50,,$1.55
Miami,Rose - Garden,Rose Garden Wedding Spirit Blush 50cm,$1.05,,2025-12-26 11:36:17,,,Spray Rose Garden Be Loving Blush Pink,,,#NUM!,,,,,,,,#NUM!
Miami,Rose - Garden,Rose Garden White O'hara Blush,$1.95,,2026-01-13 10:33:06,,,Spray Rose Hanoi Majolica Blush Pink,,,,,,,$1.50,,,,$1.50
Miami,Rose - Spray,Spray Rose Hanoi Majolica Blush Pink,$1.50,$1.75,2026-02-10 13:23:17,,,Spray Rose Peach Jewel Pink/Peach,,,,,,,$1.25,,,,$1.25
Miami,Rose - Spray,Spray Rose Rubicon Dark Red,$1.85,$1.50,2025-12-10 11:48:55,,,Spray Rose Rubicon Dark Red,,,,,,,$1.85,$1.95,,,$1.85
Miami,Rose - Spray,Spray Rose Rubicon Dark Red,$1.85,$2.25,2026-02-11 11:50:08,,,Spray Rose Sahara Sensation Peach,$2.20,,,,,,,,,,$2.20
Miami,Rose - Spray,Spray Rose Snowflake White,$1.50,,2025-12-26 11:07:37,,,Spray Rose Snowflake,,,,,,,$1.50,,,,$1.50
Miami,Rose - Spray,Spray Rose White Majolika Cream,$1.45,$1.50,2026-01-05 14:05:08,,,Spray Rose Snowflake White,,$1.50,,,,,$1.50,,,,$1.50
Miami,Sanguisorba,Sanguisorba Burgundy,$2.50,,2026-02-17 12:11:03,,,Spray Rose White,,,#NUM!,,,,,,,,#NUM!
Miami,Scabiosa,Scabiosa Blackberry Scoop Burgundy,$1.85,,2026-02-17 12:11:03,,,Spray Rose White Majolika,,,,,,,$1.50,,,,$1.50
Miami,Scabiosa,Scabiosa French Vanilla Scoop Blush,$1.95,,2026-01-05 14:05:08,,,Spray Rose White Majolika Cream,,,,,,,$1.45,,,,$1.45
Miami,Snapdragon,Snapdragon Burgundy,$1.85,,2026-01-19 13:37:12,,,Spruce Baby Tree Green,,,,,,,$12.50,,,,$12.50
Miami,Snapdragon,Snapdragon Orange Select,$1.85,,2026-01-27 14:02:00,,,Statice Tissue Culture Peach,$0.85,,,,,,,,,,$0.85
Miami,Snapdragon,Snapdragon Pink Select,$1.75,,2026-01-13 10:32:36,,,Stock Burgundy Select,,,,,,,$1.85,,,,$1.85
Miami,Snapdragon,Snapdragon White Select,$1.75,,2026-01-06 12:29:04,,,Stock Mauve Select,,,,,,,$1.24,,,,$1.24
Miami,Spray Rose,Spray Rose Peach Jewel Pink/Peach,$1.25,,2026-02-17 12:09:07,,,Stock Peach Select,,,,,,,$1.34,,,,$1.34
Miami,Spray Rose,Spray Rose Snowflake,$1.50,,2026-02-16 11:25:25,,,Stock White Select,,,,$1.30,,,$1.24,,,,$1.27
Miami,Spray Rose,Spray Rose White Majolika,$1.50,,2026-02-11 11:50:08,,,Stock Yellow Select,$1.40,,,,,,,,,,$1.40
Miami,Stock,Stock Burgundy Select,$1.85,,2025-11-12 21:20:47,,,Sword Fern Green,,,,,,,$0.95,,,,$0.95
Miami,Stock,Stock Mauve Select,$1.24,,2025-11-11 13:50:03,,,Tulip Double Light Pink,,,,,,,$2.05,,,,$2.05
Miami,Stock,Stock Peach Select,$1.34,,2025-11-25 13:54:48,,,Tulip Double Northcap White,,,,,,,$1.95,,,,$1.95
Miami,Stock,Stock White Select,$1.24,,2025-11-25 13:57:28,,,Tulip Dyed Brown,,,,,,,$2.25,,,,$2.25
Miami,Thistle,Eryngium Blue,$1.50,,2026-01-13 10:32:36,,,Tulip Light Pink,$1.85,,,,,,,,,,$1.85
Miami,Tulip,Tulip Double Light Pink,$2.05,,2026-02-10 14:06:02,,,Tulip Parrot Super Parrot Green/White,,,,,,,$2.35,,,,$2.35
Miami,Tulip,Tulip Double Northcap White,$1.95,,2026-02-10 13:22:50,,,Tulip Red,,,,,,,$2.25,,,,$2.25
Miami,Tulip,Tulip Dyed Brown,$2.25,,2026-02-09 8:48:02,,,Tulip Royal Virgin,,,,,,,$1.95,,,,$1.95
Miami,Tulip,Tulip Parrot Super Parrot Green/White,$2.35,,2026-02-11 11:49:46,,,Tulip White,$1.85,$1.95,,,,,#NUM!,,,#NUM!,$1.90
Miami,Tulip,Tulip Red,$2.25,,2025-12-02 13:15:01,,,Tweedia White,,,#NUM!,,,,,,,,#NUM!
Miami,Tulip,Tulip Royal Virgin,$1.95,,2026-02-17 10:13:52,,,Veronica White,,,,,,,$1.25,,,,$1.25
Miami,Veronica,Veronica White,$1.25,,2026-01-05 14:05:08,,,Wax Flower Purple,,,,,,,$1.05,,,,$1.05
Miami,Wax Flower,Wax Flower Purple,$1.05,,2025-12-23 9:14:40,,,Wax Flower White,,,,,,,$1.55,,,,$1.55
Miami,Wax Flower,Wax Flower White,$1.55,,2026-02-03 11:34:23,,,Waxflower Pink,,,,,,,#NUM!,,,,#NUM!
Raleigh,Carnation,Carnation Lege Marrone Beige Fancy,$0.59,,2025-11-25 11:30:47,,,Waxflower White,,,,,#NUM!,,,,,,#NUM!
Raleigh,Chrysanthemum,Chrysanthemum Disbud Cooper Bronze,$1.10,,2025-11-25 11:30:47,,,Grand Total,$1.45,$1.85,#NUM!,$1.60,#NUM!,$0.95,$1.75,$1.35,$1.55,$1.35,$1.50
Raleigh,Greenery,Eucalyptus Seeded Green,$1.05,,2025-11-25 11:30:47,,,,,,,,,,,,,,
Raleigh,Greenery,Ruscus Italian Green,$1.35,,2025-11-25 11:30:47,,,,,,,,,,,,,,
Raleigh,Greenery,Ruscus Italian Green,$1.35,$1.17,2026-02-11 8:59:07,,,,,,,,,,,,,,
Raleigh,Greenery,Ruscus Italian Green 100 cm,$1.35,,2026-02-11 8:58:40,,,,,,,,,,,,,,
Raleigh,Pompon,Pompon Cushion Red,$0.60,,2025-11-25 11:30:47,,,,,,,,,,,,,,
Raleigh,Rose,Rose Black Magic Dark Red,$2.95,,2026-02-11 8:58:40,,,,,,,,,,,,,,
Raleigh,Spray Rose,Spray Rose Rubicon Dark Red,$1.95,,2026-02-11 8:58:40,,,,,,,,,,,,,,
Riverside,Brunia,Brunia Silver,$1.60,,2026-02-04 15:53:27,,,,,,,,,,,,,,
Riverside,Delphinium,Delphinium Belladonna Light Blue,$1.60,,2026-02-04 15:53:27,,,,,,,,,,,,,,
Riverside,Ruscus,Ruscus Italian Green 100 cm,$1.15,,2026-02-04 15:53:27,,,,,,,,,,,,,,
Riverside,Spray Rose,Spray Rose Floreana White,$1.50,,2026-02-04 15:53:27,,,,,,,,,,,,,,
San Francisco,Chrysanthemum,Chrysanthemum Disbud Ball White,$1.75,,2025-11-19 7:51:58,,,,,,,,,,,,,,
San Francisco,Chrysanthemum,Chrysanthemum Disbud Maisy White,$1.50,,2025-11-19 7:51:58,,,,,,,,,,,,,,
San Francisco,Greenery,Eucalyptus Seeded Green,$0.85,,2025-11-19 7:51:58,,,,,,,,,,,,,,
San Francisco,Greenery,Huckleberry Green,$0.95,,2025-11-19 7:51:58,,,,,,,,,,,,,,
San Francisco,Greenery,Lemon/Salal Tips Green,$0.85,,2025-11-19 7:51:58,,,,,,,,,,,,,,
San Francisco,Greenery,Ruscus Italian Green 100 cm,$1.35,,2025-11-20 12:50:11,,,,,,,,,,,,,,
San Francisco,Hydrangea,Hydrangea White Medium,$2.25,,2025-11-20 12:50:11,,,,,,,,,,,,,,
San Francisco,Hypericum,Hypericum White,$0.85,,2025-11-20 12:50:11,,,,,,,,,,,,,,
San Francisco,Larkspur,Larkspur White,$1.45,,2025-11-20 12:50:11,,,,,,,,,,,,,,
San Francisco,Lisianthus,Lisianthus White,$2.65,,2025-11-20 12:50:11,,,,,,,,,,,,,,
San Francisco,Pompon,Pompon Button White,$0.70,,2025-11-19 7:51:58,,,,,,,,,,,,,,
Miami,Greenery,Ruscus Italian Green 100 cm,$1.35,$1.12,2026-02-18 11:56:45,,,,,,,,,,,,,,
Miami,,Preserved Hanging Amaranthus White,,$2.55,2026-02-18 13:27:41,,,,,,,,,,,,,,
Miami,,Calla Lily Mini Pink,,$2.50,2026-02-18 13:27:41,,,,,,,,,,,,,,
San Francisco,,Astilbe White,,$2.95,2026-02-19 9:21:33,,,,,,,,,,,,,,
San Francisco,,Tulip White,,$1.95,2026-02-19 9:21:33,,,,,,,,,,,,,,
San Francisco,,Bear Grass Standard Green,,$0.55,2026-02-19 9:21:33,,,,,,,,,,,,,,
San Francisco,,Hydrangea Mojito Green,,$2.25,2026-02-19 9:21:33,,,,,,,,,,,,,,
San Francisco,,Calla Lily Mini White,,$2.25,2026-02-19 9:21:33,,,,,,,,,,,,,,
San Francisco,,Amaranthus Hanging Green,,$2.35,2026-02-19 9:21:33,,,,,,,,,,,,,,
San Francisco,,Gomphrena Assorted,,$1.25,2026-02-19 12:19:28,,,,,,,,,,,,,,
San Francisco,,Phlox Assorted,,$1.50,2026-02-19 12:19:28,,,,,,,,,,,,,,
San Francisco,,Limonium Misty White White,,$1.30,2026-02-19 12:19:28,,,,,,,,,,,,,,
Miami,Hydrangea,Hydrangea Mojito Green Medium,$1.85,$2.50,2026-02-23 10:30:10,,,,,,,,,,,,,,
Miami,Calla - Mini,Calla Lily Mini White,$1.95,$2.25,2026-02-23 10:30:10,,,,,,,,,,,,,,
Miami,Delphinium,Delphinium Belladonna Light Blue,$1.85,$1.75,2026-02-23 14:37:24,,,,,,,,,,,,,,
Miami,Rose - Spray,Spray Rose Snowflake White,$1.50,$1.25,2026-02-23 14:37:24,,,,,,,,,,,,,,
Miami,,Snapdragon Burgundy Select,,$1.85,2026-02-23 14:37:57,,,,,,,,,,,,,,
Chandler,,Hydrangea White Medium,,$2.25,2026-02-24 9:02:49,,,,,,,,,,,,,,
Chandler,Hydrangea,Hydrangea Mojito Green Medium,$2.50,$2.75,2026-02-24 9:02:49,,,,,,,,,,,,,,
Chandler,Calla - Mini,Calla Lily Mini White,$2.50,$2.25,2026-02-24 10:45:44,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-02-24 13:31:15,,,,,,,,,,,,,,
Miami,Greenery,Dusty Miller Silver,$1.35,$1.15,2026-02-24 13:31:15,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-02-24 13:31:56,,,,,,,,,,,,,,
Miami,,Eryngium Magical Blue,,$1.50,2026-02-24 13:31:56,,,,,,,,,,,,,,
Miami,,Snapdragon Burgundy Select,,$1.80,2026-02-24 13:31:56,,,,,,,,,,,,,,
Miami,Greenery,Nagi Foliage Green,$1.02,$0.92,2026-02-24 13:47:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-02-24 13:47:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-02-24 13:47:38,,,,,,,,,,,,,,
Houston,,Ruscus Italian Green,,$1.42,2026-02-25 9:19:11,,,,,,,,,,,,,,
Houston,,Waxflower White,,$1.55,2026-02-25 9:19:11,,,,,,,,,,,,,,
Houston,,Lisianthus White,,$3.47,2026-02-25 9:19:11,,,,,,,,,,,,,,
Houston,,Lemon/Salal Green,,$0.75,2026-02-25 9:19:11,,,,,,,,,,,,,,
Houston,,Hydrangea White Medium,,$2.40,2026-02-25 9:19:11,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-02-25 12:52:34,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-02-25 12:52:34,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-02-25 12:52:34,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-02-25 12:52:34,,,,,,,,,,,,,,
Miami,,Snapdragon Burgundy Select,,$1.85,2026-02-25 12:52:34,,,,,,,,,,,,,,
Miami,,Snapdragon Burgundy Select,,$1.85,2026-02-25 12:52:34,,,,,,,,,,,,,,
San Francisco,,Garland Gypsophila Xlence Natural White 10',,$14.45,2026-02-26 9:28:23,,,,,,,,,,,,,,
Chandler,,Carnation Assorted,,$0.65,2026-02-26 11:44:41,,,,,,,,,,,,,,
Chandler,,Aster Montecasino White,,$0.50,2026-02-26 11:44:41,,,,,,,,,,,,,,
Chandler,,Smilax Green,,$2.30,2026-02-26 11:44:41,,,,,,,,,,,,,,
Chandler,,Pittosporum Pitto Nigra Variegated,,$1.50,2026-02-26 11:44:41,,,,,,,,,,,,,,
Chandler,,Pittosporum Variegated,,$1.10,2026-02-26 11:44:41,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-02 13:47:48,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-02 13:47:48,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-02 13:47:48,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-02 13:47:48,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-02 13:47:48,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-02 13:47:48,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-02 13:47:48,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-02 13:47:48,,,,,,,,,,,,,,
Miami,,Tulip White,,$1.95,2026-03-03 10:21:13,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:21:42,,,,,,,,,,,,,,
Miami,,Gerbera Mini White,,$2.25,2026-03-03 10:22:07,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
Miami,,Ruscus Italian Green,,$1.12,2026-03-03 10:57:38,,,,,,,,,,,,,,
