,,,,,,,,,,,,,,,,,,
,Agrogana,,,Mayesh,,,Magic ,,,Agrogana/Mayesh Summary Table,,,,,Mayesh/Magic Comparison Table,,,
,Avg Freight/Stem,$0.33,,Avg Freight/Stem,$0.68,,Product costs are freight inclusive,,,freight exclusive,,,,,freight inclusive,,,
,Stem Type,Agrogana $/Stem,,Stem Type,Mayesh $/Stem,,Species,Magic$/Stem,,Stem,Agrogana,Mayesh,% Increase,,Stem,Mayesh,Magic,% Increase
,Amaranthus,$0.85,,Acacia,$1.37,,Amaranthus,$2.19,,Amaranthus,$0.85,$1.97,132%,,Acacia,$2.05,,
,Anemone,$0.75,,Allium,$5.95,,Anthurium,$3.43,,Anemone,$0.75,$2.25,202%,,Allium,$6.63,,
,Anemone - Premium,$0.85,,Amaranthus,$1.97,,Aspidistra,$0.72,,Anemone - Premium,$0.85,,,,Amaranthus,$2.65,$2.19,-18%
,Aster,$0.24,,Anemone,$2.25,,Chamaedorea,$0.99,,Aster,$0.24,$0.85,254%,,Anemone,$2.93,,
,Astrantia,$0.50,,Anthurium,$12.50,,Cordyline,$1.10,,Astrantia,$0.50,$1.85,270%,,Anthurium,$13.18,$3.43,-74%
,Baby's Breath,$0.55,,Aspidistra,$0.75,,Davalia,$1.10,,Baby's Breath,$0.55,$3.03,452%,,Aspidistra,$1.43,$0.72,-50%
,Baby's Breath - Tinted,$0.85,,Aster,$0.85,,Dracaenas,$0.41,,Baby's Breath - Tinted,$0.85,,,,Aster,$1.53,,
,Campanula,$0.65,,Astilbe,$2.03,,Ginger,$1.10,,Campanula,$0.65,,,,Astilbe,$2.71,,
,Capanula,$0.65,,Astrantia,$1.85,,Heliconia,$1.10,,Capanula,$0.65,,,,Astrantia,$2.53,,
,Carnation,$0.35,,Baby's Breath,$3.03,,Leather Leaf,$1.15,,Carnation,$0.35,$0.59,,,Baby's Breath,$3.71,,
,Chrysanthemum,$0.52,,Berries,$2.05,,Monstera,$1.35,,Chrysanthemum,$0.52,$1.51,190%,,Berries,$2.73,,
,Craspedia,$0.46,,Branches,$3.48,,Musa Leaf,$1.09,,Craspedia,$0.46,,-100%,,Branches,$4.16,,
,Delphinium,$0.51,,Brunia,$1.60,,Philodendron,$1.10,,Delphinium,$0.51,$1.84,,,Brunia,$2.28,,
,Dianthus,$0.30,,Calla,$2.44,,Podocarpus,$1.28,,Dianthus,$0.30,$1.20,300%,,Calla,$3.12,,
,Didiscus,$0.65,,Calla - Mini,$2.19,,Raphis Palm,$1.09,,Didiscus,$0.65,,-100%,,Calla - Mini,$2.87,,
,Dried,$0.48,,Carnation,$0.59,,Scheflera,$1.10,,Dried,$0.48,$2.25,,,Carnation,$1.27,,
,Dubium,$0.50,,Carnation - Mini,$0.59,,Grand Total,$2.04,,Dubium,$0.50,,-100%,,Carnation - Mini,$1.27,,
,Eucalyptus,$0.35,,Chamomile,$1.85,,,,,Eucalyptus,$0.35,$0.98,,,Chamomile,$2.53,,
,Fiorino,$0.30,,Chrysanthemum,$1.51,,,,,Fiorino,$0.30,,-100%,,Chrysanthemum,$2.19,,
,Freesia,$0.60,,Clematis,$2.25,,,,,Freesia,$0.60,,,,Clematis,$2.93,,
,Garland,$2.50,,Delphinium,$1.84,,,,,Garland,$2.50,$10.84,,,Delphinium,$2.52,,
,Greenery,$0.37,,Dianthus,$1.20,,,,,Greenery,$0.37,$1.35,,,Dianthus,$1.88,,
,Hypericum,$0.45,,Dried,$2.25,,,,,Hypericum,$0.45,$0.85,89%,,Dried,$2.93,,
,Larkspur,$0.47,,Eryngium,$1.75,,,,,Larkspur,$0.47,$1.35,187%,,Eryngium,$2.43,,
,Lepidium,$0.45,,Eucalyptus,$0.98,,,,,Lepidium,$0.45,,-100%,,Eucalyptus,$1.66,,
,Lilliput,$0.30,,Garland,$10.84,,,,,Lilliput,$0.30,,-100%,,Garland,$11.52,,
,Limonium,$0.45,,Gass,$0.63,,,,,Limonium,$0.45,$1.05,,,Gass,$1.31,,
,Limonium - Tinted,$0.80,,Greenery,$1.35,,,,,Limonium - Tinted,$0.80,,,,Greenery,$2.03,,
,Marigold,$0.60,,Greenry,$1.95,,,,,Marigold,$0.60,,-100%,,Greenry,$2.63,,
,Nigella,$0.40,,Gypsophila,$0.99,,,,,Nigella,$0.40,,,,Gypsophila,$1.67,,
,Poppy,$0.60,,Helleborus,$3.80,,,,,Poppy,$0.60,,,,Helleborus,$4.48,,
,Ranunculus,$0.81,,Hydrangea,$2.37,,,,,Ranunculus,$0.81,$2.97,,,Hydrangea,$3.05,,
,Ranunculus - Butterfly,$1.20,,Hypericum,$0.85,,,,,Ranunculus - Butterfly,$1.20,$3.23,,,Hypericum,$1.53,,
,Ranunculus - Butterfly Premium,$1.60,,Larkspur,$1.35,,,,,Ranunculus - Butterfly Premium,$1.60,,-100%,,Larkspur,$2.03,,
,Ranunculus - Premium,$1.60,,Lily,$2.98,,,,,Ranunculus - Premium,$1.60,,-100%,,Lily,$3.66,,
,Rose,$0.66,,Limonium,$1.05,,,,,Rose,$0.66,$1.68,,,Limonium,$1.73,,
,Rose - Garden,$0.85,,Lisianthus,$3.40,,,,,Rose - Garden,$0.85,$2.79,,,Lisianthus,$4.08,,
,Rose - Spray,$0.60,,Moss,$4.95,,,,,Rose - Spray,$0.60,$1.69,182%,,Moss,$5.63,,
,Scabiosa,$0.60,,Open Cut Calla Lily,$3.63,,,,,Scabiosa,$0.60,$1.68,179%,,Open Cut Calla Lily,$4.31,,
,Snapdragon,$0.44,,Orchid,$18.95,,,,,Snapdragon,$0.44,$1.80,311%,,Orchid,$19.63,,
,Solidago,$0.30,,Orlaya,$1.43,,,,,Solidago,$0.30,,-100%,,Orlaya,$2.11,,
,Solomio,$0.30,,Plumosa,$0.85,,,,,Solomio,$0.30,,-100%,,Plumosa,$1.53,,
,Spray Rose,$0.60,,Pompon,$0.58,,,,,Spray Rose,$0.60,$1.53,,,Pompon,$1.26,,
,Statice,$0.45,,Protea,$22.00,,,,,Statice,$0.45,$0.85,,,Protea,$22.68,,
,Stock,$0.45,,QAL,$1.10,,,,,Stock,$0.45,$1.40,210%,,QAL,$1.78,,
,Sunflower,$0.45,,Queen Anne's Lace,$1.47,,,,,Sunflower,$0.45,,-100%,,Queen Anne's Lace,$2.15,,
,Sweet Pea,$0.60,,Ranunculus,$2.97,,,,,Sweet Pea,$0.60,,,,Ranunculus,$3.65,,
,Tweedia,$0.65,,Ranunculus - Butterfly,$3.23,,,,,Tweedia,$0.65,,,,Ranunculus - Butterfly,$3.91,,
,Veronica,$0.47,,Rose,$1.68,,,,,Veronica,$0.47,,,,Rose,$2.36,,
,Grand Total,$0.66,,Rose - Garden,$2.79,,,,,Grand Total,$0.66,,,,Rose - Garden,$3.47,,
,,,,Rose - Spray,$1.69,,,,,,,,70%,,Rose - Spray,$2.37,,
,,,,Ruscus,$1.15,,,,,,,,,,Ruscus,$1.83,,
,,,,Sanguisorba,$2.50,,,,,,,,,,Sanguisorba,$3.18,,
,,,,Scabiosa,$1.68,,,,,,,,,,Scabiosa,$2.36,,
,,,,Snapdragon,$1.80,,,,,,,,,,Snapdragon,$2.48,,
,,,,Spray Rose,$1.53,,,,,,,,,,Spray Rose,$2.21,,
,,,,Statice,$0.85,,,,,,,,,,Statice,$1.53,,
,,,,Stock,$1.40,,,,,,,,,,Stock,$2.08,,
,,,,Thistle,$1.58,,,,,,,,,,Thistle,$2.26,,
,,,,Tulip,$2.05,,,,,,,,,,Tulip,$2.73,,
,,,,Veronica,$1.25,,,,,,,,,,Veronica,$1.93,,
,,,,Wax Flower,$1.30,,,,,,,,,,Wax Flower,$1.98,,
,,,,Grand Total,$2.03,,,,,,,,,,Grand Total,$2.71,$2.04,